env,label_encoded,image_path,split
insular_sea,0,insular_sea/subsistence_agriculture/sample_1653100.tif,train
insular_sea,1,insular_sea/managed_forest_or_forestry/sample_1609524.tif,train
insular_sea,1,insular_sea/managed_forest_or_forestry/sample_1623651.tif,train
insular_sea,2,insular_sea/commercial_agriculture/sample_1679476.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1662525.tif,train
insular_sea,2,insular_sea/commercial_agriculture/sample_1695593.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1639149.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1604176.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1689222.tif,train
insular_sea,1,insular_sea/managed_forest_or_forestry/sample_1711105.tif,train
insular_sea,2,insular_sea/commercial_agriculture/sample_1742051.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1591426.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1642413.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1602934.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1624781.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1659594.tif,train
insular_sea,1,insular_sea/managed_forest_or_forestry/sample_1657409.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1704744.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1603725.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1733701.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1593268.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1638647.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1722017.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1728621.tif,train
insular_sea,5,insular_sea/pasture/sample_1629942.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1609848.tif,train
insular_sea,5,insular_sea/pasture/sample_1685920.tif,train
insular_sea,1,insular_sea/managed_forest_or_forestry/sample_1681586.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1656156.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1731903.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1649508.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1687999.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1650801.tif,train
insular_sea,3,insular_sea/other_natural_disturbances_or_no_tree-loss_driver/sample_1696704.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1613187.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1711026.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1728652.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1632521.tif,train
insular_sea,1,insular_sea/managed_forest_or_forestry/sample_1707160.tif,train
insular_sea,1,insular_sea/managed_forest_or_forestry/sample_1643880.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1624598.tif,train
insular_sea,1,insular_sea/managed_forest_or_forestry/sample_1701319.tif,train
insular_sea,1,insular_sea/managed_forest_or_forestry/sample_1690845.tif,train
insular_sea,4,insular_sea/commercial_oil_palm_or_other_palm_plantations/sample_1735358.tif,train
insular_sea,0,insular_sea/subsistence_agriculture/sample_1731951.tif,train
